Problem Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy or Greedy-1,Simple local or local-1,No. of iterations,GRASP-1,No. of iterations,Known best solution or upper bound
G1,800,19176,9569.00,10962,11165 (alpha=0.55),11365,100,11474,83,12078
G2,800,19176,9618.60,11011,11220 (alpha=0.55),11381,124,11435,79,12084
G3,800,19176,9573.30,11032,11084 (alpha=0.55),11370,110,11455,77,12077
G4,800,19176,9603.10,11055,11177 (alpha=0.55),11354,109,11474,78,N/A
G5,800,19176,9595.80,11021,11169 (alpha=0.55),11370,102,11447,75,N/A
G6,800,19176,91.70,1542,1657 (alpha=0.55),1869,107,1990,104,N/A
G7,800,19176,-116.50,1372,1489 (alpha=0.55),1699,105,1826,90,N/A
G8,800,19176,-90.30,1365,1458 (alpha=0.55),1712,118,1812,106,N/A
G9,800,19176,6.10,1462,1465 (alpha=0.55),1767,116,1859,100,N/A
G10,800,19176,-119.50,1323,1453 (alpha=0.55),1722,109,1801,96,N/A
G11,800,1600,16.40,432,430 (alpha=0.55),442,15,486,10,627
G12,800,1600,-1.60,418,426 (alpha=0.55),440,17,476,10,621
G13,800,1600,19.80,416,458 (alpha=0.55),459,13,506,11,645
G14,800,4694,2350.80,2899,2948 (alpha=0.55),2967,24,2987,23,3187
G15,800,4661,2330.40,2860,2925 (alpha=0.55),2942,24,2973,23,3169
G16,800,4672,2317.40,2895,2923 (alpha=0.55),2953,28,2972,24,3172
G17,800,4667,2364.20,2880,2908 (alpha=0.55),2947,27,2972,26,N/A
G18,800,4694,38.70,761,732 (alpha=0.55),822,71,906,57,N/A
G19,800,4661,-59.40,698,692 (alpha=0.55),748,68,799,54,N/A
G20,800,4672,-34.30,736,751 (alpha=0.55),779,78,847,54,N/A
G21,800,4667,-18.20,715,675 (alpha=0.55),787,75,827,59,N/A
G22,2000,19990,9999.20,12347,12719 (alpha=0.55),12849,151,13031,115,14123
G23,2000,19990,9992.60,12293,12774 (alpha=0.55),12860,165,13012,112,14129
G24,2000,19990,9952.90,12346,12733 (alpha=0.55),12815,163,12989,111,14131
G25,2000,19990,9994.00,12409,12793 (alpha=0.55),12861,180,12998,111,N/A
G26,2000,19990,10014.10,12334,12695 (alpha=0.55),12901,182,13010,116,N/A
G27,2000,19990,-0.20,2327,2525 (alpha=0.55),2793,230,2961,177,N/A
G28,2000,19990,-10.20,2248,2430 (alpha=0.55),2740,217,2866,163,N/A
G29,2000,19990,72.90,2375,2543 (alpha=0.55),2894,222,2987,171,N/A
G30,2000,19990,36.30,2399,2552 (alpha=0.55),2868,217,3010,177,N/A
G31,2000,19990,-28.70,2304,2434 (alpha=0.55),2742,222,2900,173,N/A
G32,2000,4000,20.60,1026,1094 (alpha=0.55),1102,43,1200,24,1560
G33,2000,4000,-9.60,1011,1034 (alpha=0.55),1071,40,1172,24,1537
G34,2000,4000,-47.20,981,1122 (alpha=0.55),1065,40,1180,26,1541
G35,2000,11778,5886.90,7238,7387 (alpha=0.55),7442,59,7473,56,8000
G36,2000,11766,5871.60,7243,7368 (alpha=0.55),7444,63,7468,58,7996
G37,2000,11785,5918.30,7270,7363 (alpha=0.55),7442,70,7494,58,8009
G38,2000,11779,5896.50,7255,7388 (alpha=0.55),7444,66,7484,58,N/A
G39,2000,11778,-8.20,1936,1701 (alpha=0.55),2003,177,2132,158,N/A
G40,2000,11766,-47.30,1826,1967 (alpha=0.55),1996,186,2099,142,N/A
G41,2000,11785,-17.40,1864,1756 (alpha=0.55),1983,185,2102,140,N/A
G42,2000,11779,23.80,1976,1804 (alpha=0.55),2060,177,2200,150,N/A
G43,1000,9990,4960.60,6170,6370 (alpha=0.55),6414,88,6498,59,7027
G44,1000,9990,4986.20,6189,6348 (alpha=0.55),6392,88,6520,60,7022
G45,1000,9990,4982.30,6177,6380 (alpha=0.55),6426,99,6505,59,7020
G46,1000,9990,4985.10,6175,6323 (alpha=0.55),6419,86,6494,55,N/A
G47,1000,9990,4980.40,6213,6341 (alpha=0.55),6405,89,6486,61,N/A
G48,3000,6000,3009.40,6000,6000 (alpha=0.55),6000,1,6000,1,6000
G49,3000,6000,3014.20,6000,6000 (alpha=0.55),6000,1,6000,1,6000
G50,3000,6000,3013.20,5880,5880 (alpha=0.55),5845,2,5880,1,5988
G51,1000,5909,2953.60,3652,3720 (alpha=0.55),3723,31,3760,30,N/A
G52,1000,5916,2970.60,3636,3691 (alpha=0.55),3737,36,3758,29,N/A
G53,1000,5914,2969.80,3630,3663 (alpha=0.55),3730,33,3750,30,N/A
G54,1000,5916,2956.20,3622,3673 (alpha=0.55),3723,30,3757,29,N/A
