Experiment_Type,Heuristic_AI1,Depth_AI1,Heuristic_AI2,Depth_AI2,AI1_Win_Rate,Avg_Game_Duration_Seconds,Total_Game_Time_Seconds,Num_Games
AI_vs_Human,1,1,2,1,0.0,0.1,0.7,10
AI_vs_Human,1,2,2,1,100.0,0.7,7.4,10
AI_vs_Human,1,3,2,1,100.0,7.0,70.1,10
AI_vs_Human,2,1,2,1,0.0,0.1,0.8,10
AI_vs_Human,2,2,2,1,100.0,0.1,0.7,10
AI_vs_Human,2,3,2,1,100.0,15.9,159.1,10
AI_vs_Human,3,1,2,1,100.0,0.0,0.1,10
AI_vs_Human,3,2,2,1,100.0,0.2,2.2,10
AI_vs_Human,3,3,2,1,100.0,4.3,42.7,10
AI_vs_Human,4,1,2,1,0.0,0.0,0.0,10
AI_vs_Human,4,2,2,1,100.0,0.1,0.6,10
AI_vs_Human,4,3,2,1,100.0,70.2,702.4,10
AI_vs_Human,5,1,2,1,0.0,0.0,0.2,10
AI_vs_Human,5,2,2,1,100.0,0.1,0.6,10
AI_vs_Human,5,3,2,1,100.0,1.6,16.3,10
AI_vs_Human,6,1,2,1,100.0,0.1,0.7,10
AI_vs_Human,6,2,2,1,100.0,0.7,6.9,10
AI_vs_Human,6,3,2,1,100.0,7.9,78.5,10
AI_vs_Human,7,1,2,1,0.0,0.1,0.6,10
AI_vs_Human,7,2,2,1,100.0,0.9,8.8,10
AI_vs_Human,7,3,2,1,100.0,6.4,64.4,10
AI_vs_AI,7,1,1,1,0.0,0.0,0.4,10
AI_vs_AI,7,2,1,2,100.0,1.4,13.6,10
AI_vs_AI,7,3,1,3,100.0,109.4,1093.9,10
AI_vs_AI,7,1,2,1,0.0,0.1,0.6,10
AI_vs_AI,7,2,2,2,100.0,1.7,16.7,10
AI_vs_AI,7,3,2,3,100.0,5.5,54.8,10
AI_vs_AI,7,1,3,1,0.0,0.0,0.0,10
AI_vs_AI,7,2,3,2,0.0,1.7,16.9,10
AI_vs_AI,7,3,3,3,0.0,136.1,1361.2,10
AI_vs_AI,7,1,4,1,0.0,0.0,0.0,10
AI_vs_AI,7,2,4,2,100.0,2.8,28.4,10
AI_vs_AI,7,3,4,3,100.0,49.0,490.3,10
AI_vs_AI,7,1,5,1,0.0,0.0,0.0,10
AI_vs_AI,7,2,5,2,100.0,1.6,16.3,10
AI_vs_AI,7,3,5,3,100.0,25.8,258.3,10
AI_vs_AI,7,1,6,1,0.0,0.1,0.8,10
AI_vs_AI,7,2,6,2,0.0,2.9,28.9,10
AI_vs_AI,7,3,6,3,0.0,67.0,670.5,10
AI_vs_AI,6,1,1,1,100.0,0.1,0.9,10
AI_vs_AI,6,2,1,2,100.0,3.1,31.2,10
