Experiment_Type,Heuristic_AI1,Depth_AI1,Heuristic_AI2,Depth_AI2,AI1_Win_Rate,Avg_Game_Duration_Seconds,Total_Game_Time_Seconds,Num_Games
AI_vs_AI,1,1,-1,-1,50.0,0.0,0.2,6
AI_vs_AI,1,2,-1,-1,50.0,1.4,8.6,6
AI_vs_AI,1,3,-1,-1,50.0,22.2,132.9,6
AI_vs_AI,2,1,-1,-1,16.7,0.0,0.2,6
AI_vs_AI,2,2,-1,-1,0.0,1.3,8.1,6
AI_vs_AI,2,3,-1,-1,0.0,40.0,239.8,6
AI_vs_AI,3,1,-1,-1,50.0,0.0,0.1,6
AI_vs_AI,3,2,-1,-1,100.0,2.5,14.9,6
AI_vs_AI,3,3,-1,-1,66.7,46.6,279.9,6
AI_vs_AI,4,1,-1,-1,0.0,0.0,0.1,6
AI_vs_AI,4,2,-1,-1,16.7,3.2,19.2,6
AI_vs_AI,4,3,-1,-1,33.3,38.1,228.6,6
AI_vs_AI,5,1,-1,-1,0.0,0.0,0.1,6
AI_vs_AI,5,2,-1,-1,50.0,2.7,16.0,6
AI_vs_AI,5,3,-1,-1,50.0,38.2,228.9,6
AI_vs_AI,6,1,-1,-1,83.3,0.1,0.4,6
AI_vs_AI,6,2,-1,-1,100.0,4.8,29.0,6
AI_vs_AI,6,3,-1,-1,100.0,82.4,494.2,6
AI_vs_AI,7,1,-1,-1,0.0,0.1,0.4,6
AI_vs_AI,7,2,-1,-1,66.7,3.8,22.7,6
AI_vs_AI,7,3,-1,-1,66.7,46.3,277.8,6
